Price(Rs),Product Info,Variation,Custom Id,Product Number,Status,Categories
60000,Single Tub Washing Machine (HWM80-35),HWM80-35 + 08KG,,20230516122213318pJoNzfgG,inactive,Home Appliances/Washing Machines/Top Load Fully Automatic
187000,Double Drive Series Washing Machine (HWM 150-1978),HWM 150-1978 - 15KG,,20230516114745613aIQJWHfC,inactive,Home Appliances/Washing Machines/Top Load Fully Automatic
157000,Hygienic Wash Series Washing Machine (HW08-BP929S3),HW08-BP929S3 - 8 KG,,20230516113912202pPCmEaVs,inactive,Home Appliances/Washing Machines/Front Load Fully Automatic
80360,Single - Door Series Refrigerator (HR-132B),132 liter,,20230516105322335OhfegMFh,inactive,Home Appliances/Refrigerators/Non Inverter Refrigerator
138999,HRF-438 EPR/EPB/EPG - 15CFT E-Star Glass Door Series Refrigerator,Red/HRF-438 EPR/EPB/EPC/EPG - 16 Cu Ft/438 Liter,HRF-438 EPR/EPB/EPG,20230322115024252esNUKARE,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
138999,,Black/HRF-438 EPR/EPB/EPC/EPG - 16 Cu Ft/438 Liter,,,,
138999,,Chocolate/HRF-438 EPR/EPB/EPC/EPG - 16 Cu Ft/438 Liter,,,,
138999,,Green/HRF-438 EPR/EPB/EPC/EPG - 16 Cu Ft/438 Liter,,,,
135999,HRF-398 EPR/EPB/EPC/EPG - 14CFT E-Star Glass Door Series Refrigerator,Black/HRF-398 EPR/EPB/EPC/EPG - 15  Cu Ft/398 Liter,HRF-398 EPR/EPB/EPC/EPG,20230322114717466mAmoiRVZ,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
135999,,Green/HRF-398 EPR/EPB/EPC/EPG - 15  Cu Ft/398 Liter,,,,
132999,HRF-368 EPR/EPB/EPC/EPG - 13CFT E-Star Glass Door Series Refrigerator,Red/HRF-368 EPR/EPB/EPC/EPG - 14 Cu Ft/368 Liter,HRF-368 EPR/EPB/EPC/EPG,20230322114203118KLgMfyln,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
132999,,Black/HRF-368 EPR/EPB/EPC/EPG - 14 Cu Ft/368 Liter,,,,
132999,,Chocolate/HRF-368 EPR/EPB/EPC/EPG - 14 Cu Ft/368 Liter,,,,
132999,,Green/HRF-368 EPR/EPB/EPC/EPG - 14 Cu Ft/368 Liter,,,,
133000,HRF-336 EPR/EPB/EPC/EPG - 12CFT E-Star Glass Door Series Refrigerator,Red/HRF-336 EPR/EPB/EPC/EPG - 12 Cu Ft/336 Liter,HRF-336 EPR/EPB/EPC/EPG,20230322113809775JfREfRkP,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
133000,,Black/HRF-336 EPR/EPB/EPC/EPG - 12 Cu Ft/336 Liter,,,,
133000,,Chocolate/HRF-336 EPR/EPB/EPC/EPG - 12 Cu Ft/336 Liter,,,,
133000,,Green/HRF-336 EPR/EPB/EPC/EPG - 12 Cu Ft/336 Liter,,,,
123000,HRF-306 EPR/EPB/EPC/EPG - 11CFT E-Star Glass Door Series Refrigerator,Red/HRF-306 EPR/EPB/EPC/EPG - 11 Cu Ft/306 Liter,HRF-306 EPR/EPB/EPC/EPG,20230322113454763VxKbTuhO,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
123000,,Black/HRF-306 EPR/EPB/EPC/EPG - 11 Cu Ft/306 Liter,,,,
123000,,Chocolate/HRF-306 EPR/EPB/EPC/EPG - 11 Cu Ft/306 Liter,,,,
123000,,Green/HRF-306 EPR/EPB/EPC/EPG - 11 Cu Ft/306 Liter,,,,
114999,HRF-276 EPR/EPB/EPC/EPG - 10CFT E-Star Glass Door Series Refrigerator,Red/HRF-276 EPR/EPB/EPC/EPG - 10 Cu Ft/276 Liter,HRF-276 EPR/EPB/EPC/EPG,20230322113136557BeukAeZh,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
114999,,Black/HRF-276 EPR/EPB/EPC/EPG - 10 Cu Ft/276 Liter,,,,
114999,,Chocolate/HRF-276 EPR/EPB/EPC/EPG - 10 Cu Ft/276 Liter,,,,
114999,,Green/HRF-276 EPR/EPB/EPC/EPG - 10 Cu Ft/276 Liter,,,,
109999,HRF-246 EPR/EPB/EPC/EPG - 8.6 CFT E-Star Glass Door Series Refrigerator,Red/HRF-246 EPR/EPB/EPC/EPG - 9 Cu Ft/246 Liter,HRF-246 EPR/EPB/EPC/EPG,20230322112544538vfcdDYtQ,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
109999,,Black/HRF-246 EPR/EPB/EPC/EPG - 9 Cu Ft/246 Liter,,,,
109999,,Chocolate/HRF-246 EPR/EPB/EPC/EPG - 9 Cu Ft/246 Liter,,,,
109999,,Green/HRF-246 EPR/EPB/EPC/EPG - 9 Cu Ft/246 Liter,,,,
104999,HRF-216 EPR/EPB/EPC/EPG - 7.6 CFT E-Star Glass Door Series Refrigerator,Red/HRF-219 EPR/EPB/EPC/EPG - 7 Cu Ft/216 Liter,HRF-216 EPR/EPB/EPC/EPG,20230322111825336WnQGgxJT,active,Home Appliances/Refrigerators/Non Inverter Refrigerator
104999,,Black/HRF-219 EPR/EPB/EPC/EPG - 7 Cu Ft/216 Liter,,,,
104999,,Chocolate/HRF-219 EPR/EPB/EPC/EPG - 7 Cu Ft/216 Liter,,,,
104999,,Green/HRF-219 EPR/EPB/EPC/EPG - 7 Cu Ft/216 Liter,,,,
68415,Solo Series 30L Microwave (HDL-30MX80),HDL-30MX80 - 30L,,20230321164503893ENHERint,inactive,Home Appliances/Kitchen Appliances/Microwaves
54843,Solo Series 20L Microwave (HDL-20MXP4),HDL-20MXP4 - 20L,,20230321163752046IspHBXtQ,inactive,Home Appliances/Kitchen Appliances/Microwaves
120000,Smart Anti Dry 3 Burner Hob (HCC-83UD),HCC-83UD - 3 Burner,,20230321160414268WFTAcGMA,inactive,Home Appliances/Kitchen Appliances/Hobs
120000,Smart Anti Dry 3 Burner Hob (HCC-QHA9331),HCC-QHA9331 - 3 Burner,,20230321160228770MQwJXCHH,inactive,Home Appliances/Kitchen Appliances/Hobs
93817,FFD Safety Device 5 Burner Hob (HCC-519DGG),HCC-519DGG - Glass Panel ,,20230321155556045qLtQILuy,inactive,Home Appliances/Kitchen Appliances/Hobs
92854,FFD Safety Device 5 Burner Hob (HCC-519DGS),HCC-519DGS - Stainless Steel,,20230321155404244VItyVIUe,inactive,Home Appliances/Kitchen Appliances/Hobs
72150,FFD Safety Device 3 Burner Hob (HCC-631DGG),HCC-631DGG - Tempered Glass,,20230321154231513mrbbCVsm,inactive,Home Appliances/Kitchen Appliances/Hobs
72150,FFD Safety Device 3 Burner Hob (HCC-631DGS),HCC-631DGS - Stainless Steel,,20230321153702617foUZVGRP,inactive,Home Appliances/Kitchen Appliances/Hobs
85632,Aluminum Filter ARC Hood (HCH-9020G),HCH-9020G - Touch,,20230321151524855GQzfEUyA,inactive,Home Appliances/Kitchen Appliances/Hoods
73979,Aluminum Filter ARC Hood (HCH-9010G),HCH-9010G - Button,,20230321151236529xGannZim,inactive,Home Appliances/Kitchen Appliances/Hoods
